sha1sum; hopper1_kvm_patched_conf1; hopper1_kvm_patched_conf2; hopper2_vmware_conf3; hopper4_vmware_conf2; hopper5_vmware_conf2_vmtools; hopper6_kvm_legacy_conf1; hopper6_kvm_legacy_conf2; hopper3_vbox_conf1; hopper3_vbox_conf2; hopper8_vbox_conf1_guestadditions; hopper8_vbox_conf2_guestadditions; hopper7_qemu_legacy_conf1; hopper7_qemu_legacy_conf2
271af7f81dda9a7166932c90fac8794fe9f80d5a; True; True; True; False; False; True; True; True; False; True; False; True; True
0772fa711c2b77c20947259214a56fe81229c511; False; False; False; False; False; False; False; False; False; False; False; False; False
132132e02af63416e4b8c94596a28f648b05b13e; True; True; True; False; False; False; False; True; True; True; True; True; True
3b17e7f33fbde3df4f58278b7c103a0656c93e6d; True; True; True; True; True; True; True; True; True; True; True; True; True
69665f618269395b681aacf8ff13f0f674d5baa3; True; True; True; True; True; True; True; True; True; True; True; True; True
dffa8305fb24ebdefab727db48b5b93c1cb5df4d; True; True; True; False; False; True; True; True; False; True; False; True; True
86a0cb90b8ea8f13cf1b3d87ef9a749de022060b; True; True; True; False; False; False; False; True; True; True; True; True; True
22a6fd1667721400d3ca08528a81edd0ae75b79e; True; True; True; False; False; False; False; True; True; True; True; True; True
484f889d4af926ade40353a6ed44f72685fd4bd1; False; False; False; False; False; False; False; False; False; False; False; True; False
d2e6a677d321ad9ec174e245484fbff7be855c0a; True; True; True; False; False; True; True; True; False; True; False; True; True
cb065701452ca9997fdfa6675e379d9d9408ba50; False; False; False; False; False; False; False; True; False; False; False; False; False
dd56b8a472d2ad219b5448ea3cecc3de3d2efb78; False; False; False; False; False; False; False; False; False; False; False; True; False
9b104977205f44c42dd4e1a8546aef0fd0b093d5; True; True; True; True; True; True; True; True; True; True; True; True; True
f8bb2547fd6a20713e0e88308b97915e6ca19b5f; True; True; True; False; False; True; True; False; False; False; False; True; True
1cfb8e9dd5ec2035ddc140d2cd21c5b9213c3cee; True; True; True; False; False; False; False; True; True; True; True; True; True
e0aa350cb15f01429051f40e9855f02e299b31e6; True; True; True; False; False; False; False; True; False; True; False; True; True
cddfd01b696cb7a204aef39b41eb5b46dd92144e; True; True; True; False; False; True; True; True; False; True; False; True; True
66e2dc86a6c7438d4a8458054a90bf6667bdb4fa; True; True; True; True; True; True; True; True; True; True; True; True; True
2590508e94bbca3d1e2f03e4e3c016d0ac2dc905; False; False; False; False; False; False; False; False; False; False; False; True; False
082840bcf4ac1d86960384eeb93f0a6107f70783; True; True; True; False; False; False; False; True; False; True; False; True; True
9cb481c93b43732083bdd237c0988c10ac3bd04f; False; False; False; False; False; False; False; True; False; False; False; False; False
06ba4f51c54643c3b57f4d7e1bf66a4e32ef07b8; True; True; True; False; False; True; True; True; False; True; False; True; True
61b0b5669ace25f19310ff6f3147ff29337fdfd8; False; False; False; False; False; False; False; False; False; False; False; True; False
825394d29beb54ab1d60c3ae9301f31e1e176509; True; True; True; False; False; False; False; False; False; False; False; True; True
3d73f65d9ef6e724dadaf7ca4683b4a408c92355; True; True; True; False; False; True; True; True; False; True; False; True; True
f2e3e8d5b5076d7f9935bd7e7f5bece5d70346c3; True; True; True; False; False; False; False; True; True; True; True; True; True
2e3a1e9bf4240103ee1a1dece6198429bff5353d; True; True; True; False; False; False; False; True; False; True; False; True; True
a1104fec1f76f3360d447e0dbb0b3972253e3414; False; False; False; False; False; False; False; True; False; False; False; False; False
79b0624a2d0a3fc4d927984b360e1ced2bb7cd94; False; False; False; False; False; False; False; False; False; False; False; True; False
4514da60f606bca6826ab53aee277f1877ab2ff2; True; True; True; False; False; True; True; True; False; True; False; True; True
b0b90d5852d38612d7cac26df1a592fcb1db0da0; False; False; False; False; False; False; False; True; True; True; True; False; False
ef1afeff1f676c1d89786722ebb0429a4ebdb4ca; False; False; False; False; False; False; False; False; False; False; False; True; False
8de854e3f9a474fc4ff7483a73940779e4aeb5eb; False; False; False; False; False; False; False; True; True; True; True; False; False
0f0d72891cd2a2a8018115e9c5a63c96279d9343; False; True; False; True; True; True; False; True; False; False; False; False; True
5ead268a69e14b43feddf3f54baff0f0ca2ce665; False; False; False; False; False; False; False; False; False; False; False; False; False
8e659dde3865d7e5a5746e16d089aa5d8da88c9b; True; True; True; False; False; False; False; True; False; True; False; True; True
ae4240d8c8f61cc5699aede20b0be979452d099b; True; True; True; False; False; False; False; True; False; True; False; True; True
3a6178c489f724913171c723b823bbf494e25474; False; False; False; False; False; False; False; False; False; False; False; False; False
6a7b2a590213d9fc075ea53f9e48f87dba85781e; True; True; True; False; False; False; False; True; True; True; True; True; True
6a60466935e58e18dbd80f42cee4d9455a4a4de3; True; True; True; False; False; True; True; True; False; True; False; True; True
0eb9892de2c0290a0112c1d7849a0f727839dadf; True; True; True; True; True; True; True; True; True; True; True; True; True
